Date,Observed,Predicted
2011-07-13,-0.6,-0.816488119789946
2011-07-21,-0.65,-1.0486249321778132
2011-07-26,-0.58,-1.0734893399451741
2011-08-05,-0.58,-0.9933481809766903
2011-08-17,-0.81,-1.0725966572082353
2011-08-22,-0.64,-0.8492389493337564
2011-08-23,-0.75,-1.047579905754238
2011-08-24,-0.6,-0.9900443180351782
2011-08-29,-0.8,-0.9457384687583235
2011-09-08,-0.78,-1.0704197867108638
2011-09-12,-0.73,-0.9751950708388407
2011-09-14,-0.76,-1.0669518156575122
2011-09-18,-0.87,-0.9224530029137239
2011-09-27,-1.04,-1.0305169925711357
2011-09-28,-1.24,-1.040947181107468
2011-09-29,-1.1,-0.8248503681505742
2011-10-10,-1.24,-0.9966278854461196
2011-10-26,-1.11,-1.058805691940053
2011-11-01,-1.42,-1.2560192044191165
2011-11-04,-1.53,-1.054956473353386
2011-11-21,-1.34,-1.1115145747331598
2011-12-03,-1.05,-1.0870224376622137
2011-12-07,-1.44,-1.2174637619799
2011-12-09,-1.33,-1.094369564643438
2011-12-15,-1.54,-1.1285861262150891
2011-12-18,-1.19,-1.0045991167743322
2011-12-29,-0.92,-1.0672905282847738
2012-01-06,-0.96,-0.892674335472127
2012-01-09,-0.9,-0.8974130626083174
2012-01-10,-0.84,-0.8973380679790838
2012-01-14,-0.62,-0.9513738371716404
2012-01-15,-0.65,-0.870924567696638
2012-01-19,-0.84,-1.0233393334604206
2012-01-20,-0.79,-0.8566404326058167
2012-02-11,-0.56,-0.7949571869494783
2012-02-13,-0.58,-1.067288014586179
2012-02-15,-0.49,-0.9452967123027602
2012-02-16,-0.5,-0.9188274798876448
2012-02-22,-0.66,-0.8618140697760676
2012-02-23,-0.68,-0.9132677914670079
2012-03-03,-0.46,-0.7903283784621027
2012-03-08,-0.74,-0.8438390737965142
2012-03-09,-0.75,-0.7568736483316796
2012-04-03,-0.69,-1.2117554955087118
2012-04-12,-0.9,-0.722971505469035
2012-04-13,-0.63,-0.7076971253722187
2012-04-14,-0.58,-0.590251744135558
2012-04-29,-0.36,-0.590251744135558
2012-05-01,-0.21,-0.9750313465717146
2012-05-06,-0.28,-0.8812665858920428
2012-05-08,-0.6,-1.0529296752580277
2012-05-09,-0.53,-0.8495908631664173
2012-05-17,-0.39,-0.9885679426655845
2012-05-27,-0.51,-0.8266897185971038
2012-06-08,-0.57,-1.136489929602189
2012-06-14,-0.8,-1.1022588860810467
2012-07-13,-0.37,-0.7306433156002231
2012-07-15,-0.31,-0.6522370765321772
2012-07-20,-0.04,-0.8885173346136134
2012-07-23,-0.23,-0.8680247635328787
2012-07-28,-0.14,-0.7656937899971791
2012-08-08,-0.25,-1.159454288793028
2012-08-10,-0.39,-1.0772136041758704
2012-08-11,-0.46,-1.0209881400083916
2012-08-15,-0.65,-1.3713758199116106
2012-08-22,-0.26,-1.0976017623457255
2012-08-24,-0.13,-0.9010132868448364
2012-08-26,-0.17,-0.7949616867166178
2012-08-28,-0.2,-0.9875148309235203
2012-09-03,-0.22,-1.0715299153407076
2012-09-07,-0.44,-1.0803544678461157
2012-09-08,-0.27,-1.0396809008916772
2012-09-10,-0.4,-1.0732151022774903
2012-09-27,-0.69,-1.024058782551823
2012-10-06,-0.63,-0.9748506645450867
2012-10-10,-0.93,-1.0664635870330355
2012-10-13,-1.09,-0.9803069235741344
2012-10-17,-1.42,-1.3635754205147188
2012-10-20,-1.04,-0.8510198641150696
2012-10-21,-0.9,-0.963059039331877
2012-11-19,-0.64,-1.1134050039207357
2012-11-22,-1.14,-1.2473610160887865
2012-11-24,-0.72,-1.1029317288747924
2012-12-03,-1.01,-1.1318059838681327
2012-12-07,-0.85,-1.2685278085249532
2012-12-08,-1.1,-1.2079785804686423
2012-12-12,-1.46,-1.2648052779482108
2012-12-16,-1.25,-0.9480556942620386
2012-12-29,-1.18,-1.2079785804686423
2012-12-30,-1.13,-1.1831869205260472
2012-12-31,-1.11,-1.1544322086056011
2013-01-08,-1.02,-1.1331379227270248
2013-01-18,-1.01,-1.132388127627886
2013-01-20,-0.96,-1.059535860317633
2013-01-22,-1.07,-1.1837211069850975
2013-02-07,-0.62,-1.2015573491674956
2013-02-11,-0.16,-1.2413979078949298
2013-02-13,-0.38,-1.2332423993073027
2013-02-21,-0.56,-1.086908800242192
2013-02-26,-0.42,-1.2332423993073027
2013-02-27,-0.47,-1.2698709571249334
2013-03-14,-0.93,-0.7848387732626505
2013-03-16,-0.89,-0.8467682316133472
2013-03-30,-0.92,-1.0260726282608934
2013-03-31,-0.81,-0.9266969841435769
2013-04-09,-0.98,-0.896199132292476
2013-04-12,-1.18,-1.2782624606247521
2013-04-16,-0.86,-1.4838331434984255
2013-04-18,-1.68,-1.045137874370787
2013-04-22,-1.41,-1.2533701488488034
2013-04-27,-1.22,-1.0584935482607496
2013-04-29,-1.38,-1.1601591777734088
2013-05-02,-1.1,-1.4023035639710522
2013-05-09,-1.15,-1.2655130050133852
2013-05-14,-1.09,-0.9667267042978936
2013-05-18,-0.88,-1.293598437224827
2013-05-23,-0.66,-1.310947586299286
2013-06-02,-1.1,-1.341801236978969
2013-06-04,-1.27,-1.6451136929209125
2013-06-06,-0.96,-1.651264971444041
2013-06-19,-1.0,-1.3842815794333982
2013-07-01,-2.53,-1.3265958930876494
2013-07-06,-1.18,-0.9094753913007457
2013-07-13,-0.84,-0.9761071067958222
2013-07-16,-0.65,-1.3322963260781167
2013-07-26,-1.13,-1.1331184714576767
2013-08-10,-0.75,-0.9546799530763337
2013-08-11,-0.86,-0.9164912164550068
2013-08-13,-0.58,-0.9875148309235203
2013-08-14,-0.61,-0.9248819560727041
2013-08-17,-0.78,-0.9326400069818171
2013-08-23,-0.53,-0.8651604297485114
2013-08-26,-0.58,-0.9830714982789616
2013-08-28,-0.48,-1.0940883511981643
2013-08-30,-0.59,-1.0308679154323204
2013-09-08,-0.7,-0.9973935403938657
2013-09-11,-0.86,-0.9461492219086582
2013-09-14,-0.5,-1.0217115280397482
2013-09-20,-1.0,-1.018193216817801
2013-09-22,-0.97,-0.8909136713419373
2013-09-23,-0.69,-0.9076141684598924
2013-09-25,-1.11,-1.0117967078451051
2013-09-29,-0.65,-0.8903640754668175
2013-10-04,-0.74,-0.9342053527717741
2013-10-05,-0.56,-0.8765722872451276
2013-10-07,-0.8,-0.9612077462062487
2013-10-10,-1.31,-1.0330062295677016
2013-10-16,-0.73,-0.9387638157658332
2013-10-26,-1.15,-0.8037780086965223
2013-10-27,-1.02,-0.8954463604102748
2013-10-28,-1.28,-1.1233359632254738
2013-10-29,-1.18,-0.8229654694673287
2013-11-03,-1.41,-1.163216622574284
2013-11-14,-1.22,-1.3964439035324814
2013-11-19,-1.9,-1.2243929479854874
2013-12-01,-1.16,-1.1015442168231833
2013-12-02,-1.36,-1.3207449106735965
2013-12-06,-1.81,-2.431114854776057
2013-12-23,-1.31,-1.1611477975291546
2014-01-01,-0.95,-1.0613641755395584
2014-01-02,-1.23,-1.259657376907579
2014-01-04,-1.01,-1.4594129472348716
