Date,Observed,Predicted
2012-04-06,-0.79,-0.8415479769401958
2012-04-15,-0.44,-0.7162012046041774
2012-04-22,-0.59,-0.8415479769401958
2012-04-30,-0.42,-0.7162012046041774
2012-05-17,-0.39,-0.9667701073934795
2012-05-21,-0.4,-1.05660338239929
2012-05-27,-0.51,-0.862900027278271
2012-06-11,-1.09,-1.2876537335237817
2012-06-22,-0.57,-0.9203119037634911
2012-07-05,-0.5,-0.8946631750431258
2012-07-07,-0.53,-0.8823830327679993
2012-07-10,-0.39,-1.0147773676828884
2012-07-20,-0.04,-0.9285947932556471
2012-08-01,-0.44,-0.9580961165919583
2012-08-05,-0.27,-0.9012149861959294
2012-08-17,-0.24,-1.0019187750125944
2012-08-18,-0.12,-1.0019187750125944
2012-08-27,-0.36,-1.0019187750125944
2012-08-31,-0.18,-1.0019187750125944
2012-09-16,-0.39,-1.0284911679298696
2012-09-21,-0.43,-1.0269667910156166
2012-10-04,-0.85,-1.0269667910156166
2012-10-08,-0.89,-1.0269667910156166
2012-10-26,-0.93,-1.0215482321537213
2012-10-30,-1.33,-1.0284911679298696
2012-11-03,-0.88,-1.1602170019295068
2012-11-16,-0.93,-1.1603876926295205
